Took,Over,Draft Round,Edge,Result,Account
Night Witch,Dark Prince,1,+0.011,Loss,#9RG0VPUVY
Skeleton Barrel,Skeleton Army,4,+0.011,Win,#9RG0VPUVY
Graveyard,Rascals,4,+0.012,Win,#9RG0VPUVY
Graveyard,Rascals,3,+0.012,Win,#9RG0VPUVY
Golem,Firecracker,2,+0.012,Win,#9RG0VPUVY
Valkyrie,Ram Rider,2,+0.013,Win,#9RG0VPUVY
Berserker,Executioner,2,+0.013,Win,#9RG0VPUVY
Mega Knight,Princess,2,+0.014,Win,#9RG0VPUVY
Royal Hogs,Arrows,2,+0.015,Win,#9RG0VPUVY
Royal Hogs,Tombstone,2,+0.015,Win,#9RG0VPUVY
Barbarian Hut,Giant,2,+0.017,Loss,#9RG0VPUVY
Barbarian Hut,Giant,2,+0.017,Win,#9RG0VPUVY
Dark Prince,Giant Snowball,1,+0.018,Loss,#9RG0VPUVY
Dark Prince,Giant Snowball,1,+0.018,Win,#9RG0VPUVY
Dark Prince,Giant Snowball,2,+0.018,Win,#9RG0VPUVY
Bandit,Heal Spirit,4,+0.019,Win,#9RQ8YRYQL
Bandit,Heal Spirit,2,+0.019,Win,#9RG0VPUVY
Wizard,Zap,3,+0.019,Win,#9RG0VPUVY
Bandit,Heal Spirit,2,+0.019,Loss,#9RG0VPUVY
Bandit,Heal Spirit,4,+0.019,Win,#9RG0VPUVY
Night Witch,Ram Rider,2,+0.020,Win,#9RG0VPUVY
Knight,Bandit,3,+0.020,Loss,#9RG0VPUVY
Knight,Bandit,3,+0.020,Win,#9RG0VPUVY
Barbarian Hut,Flying Machine,3,+0.021,Win,#9RG0VPUVY
Barbarian Hut,Flying Machine,4,+0.021,Win,#9RG0VPUVY
Firecracker,Electro Spirit,2,+0.022,Win,#9RG0VPUVY
Mega Knight,Rascals,3,+0.023,Win,#9RG0VPUVY
Zap,Inferno Dragon,1,+0.023,Win,#9RG0VPUVY
Golem,Baby Dragon,3,+0.025,Win,#9RG0VPUVY
Golem,Baby Dragon,2,+0.025,Win,#9RG0VPUVY
Giant,Hunter,4,+0.025,Win,#9RG0VPUVY
Goblin Demolisher,Skeleton Barrel,2,+0.025,Win,#9RG0VPUVY
Royal Hogs,Graveyard,3,+0.027,Loss,#9RG0VPUVY
Royal Hogs,Graveyard,1,+0.027,Loss,#9RG0VPUVY
Three Musketeers,Ice Spirit,4,+0.029,Win,#9RG0VPUVY
Mortar,P.E.K.K.A,4,+0.030,Win,#9RG0VPUVY
Tombstone,Three Musketeers,2,+0.031,Loss,#9RG0VPUVY
P.E.K.K.A,Ice Wizard,3,+0.032,Loss,#9RG0VPUVY
Mega Knight,Firecracker,3,+0.033,Loss,#9RG0VPUVY
Berserker,Knight,2,+0.033,Win,#9RG0VPUVY
Bandit,Royal Delivery,4,+0.033,Win,#9RG0VPUVY
Golem,Electro Spirit,4,+0.034,Win,#9RG0VPUVY
Flying Machine,Giant Snowball,2,+0.035,Loss,#9RG0VPUVY
Goblin Barrel,Poison,3,+0.036,Win,#9RG0VPUVY
Goblin Demolisher,Skeleton Army,2,+0.036,Loss,#9RG0VPUVY
Royal Delivery,Fisherman,2,+0.038,Loss,#9RQ8YRYQL
Royal Delivery,Flying Machine,4,+0.038,Loss,#9RG0VPUVY
